description,industry,complexity,estimated_duration,language,project_type,priority,tech_density,business_density
Création d'une solution devops avec intégration continue et déploiement automatisé,Technology,simple,39,french,Application Web,MEDIUM,0.0,0.0
Artificial intelligence platform for advanced data analytics,Technology,simple,47,english,Application Web,HIGH,0.0,0.0
Application de chat en temps réel avec WebSocket et notifications push avec security,Technology,simple,36,french,Application Web,HIGH,0.0,0.0
Création d'une real-time chat application with websocket and push notifications avec scalable,Technology,complexe,93,english,Application Web,HIGH,0.0,0.0
Développement d'une plateforme SaaS de gestion de projets avec API REST,Technology,simple,47,french,API REST,MEDIUM,0.09090909090909091,0.09090909090909091
Développement d'un secure cloud storage solution with end-to-end encryption,Technology,simple,47,english,Application Web,HIGH,0.1111111111111111,0.0
Mise en place d'un application mobile native ios/android pour la collaboration d'équipe avec machine learning,Technology,moyen,76,french,Application Mobile,LOW,0.0,0.0
Développement d'un blockchain platform for product traceability and verification,Technology,moyen,64,english,Application Web,MEDIUM,0.0,0.0
Implémentation d'une application web de commerce électronique avec paiement stripe,Technology,simple,53,french,Application Web,MEDIUM,0.0,0.0
Développement d'un virtualization solution using docker containers and kubernetes,Technology,moyen,54,english,Application Web,MEDIUM,0.2222222222222222,0.0
Création d'une système de gestion des versions avec git et interface web,Technology,simple,31,french,Application Web,MEDIUM,0.0,0.08333333333333333
Développement d'un saas project management platform development with rest api integration avec interface utilisateur moderne,Technology,simple,25,english,API REST,LOW,0.06666666666666667,0.13333333333333333
Création d'une plateforme d'analyse de données avec dashboards interactifs avec machine learning,Technology,moyen,57,french,SaaS,LOW,0.0,0.0
Implémentation d'une api development platform with automated documentation generation,Technology,simple,36,english,API REST,HIGH,0.1111111111111111,0.0
Développement d'un application mobile native ios/android pour la collaboration d'équipe,Technology,simple,45,french,Application Mobile,MEDIUM,0.0,0.0
Mise en place d'un geolocation application with interactive google maps integration,Technology,simple,28,english,Application Web,MEDIUM,0.0,0.0
Développement d'un solution de stockage cloud sécurisé avec chiffrement end-to-end,Technology,simple,38,french,Application Web,HIGH,0.1,0.0
Cybersecurity solution with real-time intrusion detection system,Technology,moyen,60,english,Système,HIGH,0.0,0.0
Développement d'un solution devops avec intégration continue et déploiement automatisé avec machine learning,Technology,moyen,79,french,Application Web,HIGH,0.0,0.0
Création d'une api development platform with automated documentation generation,Technology,simple,31,english,API REST,HIGH,0.1111111111111111,0.0
Mise en place d'un système de surveillance des performances avec monitoring temps réel avec high-performance,Technology,moyen,74,french,Système,HIGH,0.0,0.0
Création d'une content management system with react frontend and node.js backend,Technology,simple,24,english,Système,MEDIUM,0.2727272727272727,0.09090909090909091
Solution DevOps avec intégration continue et déploiement automatisé,Technology,simple,38,french,Application Web,LOW,0.0,0.0
Création d'une saas project management platform development with rest api integration avec authentification SSO,Technology,simple,47,english,API REST,HIGH,0.07142857142857142,0.07142857142857142
Solution de virtualisation avec Docker et Kubernetes,Technology,simple,26,french,Application Web,MEDIUM,0.2857142857142857,0.0
Développement d'un api development platform with automated documentation generation,Technology,simple,39,english,API REST,HIGH,0.1111111111111111,0.0
Développement d'un solution devops avec intégration continue et déploiement automatisé,Technology,simple,27,french,Application Web,MEDIUM,0.0,0.0
Développement d'un geolocation application with interactive google maps integration,Technology,simple,44,english,Application Web,MEDIUM,0.0,0.0
Application web de commerce électronique avec paiement Stripe avec security,Technology,moyen,67,french,Application Web,HIGH,0.0,0.0
Développement d'un api development platform with automated documentation generation avec analytics avancés,Technology,simple,51,english,API REST,HIGH,0.08333333333333333,0.0
Création d'une solution de cybersécurité avec détection d'intrusion en temps réel,Technology,simple,34,french,Application Web,HIGH,0.0,0.0
Développement d'un saas project management platform development with rest api integration avec distributed avec haute performance,Technology,moyen,84,english,API REST,HIGH,0.0625,0.0625
Développement d'un solution de cybersécurité avec détection d'intrusion en temps réel avec distributed,Technology,moyen,67,french,Application Web,HIGH,0.0,0.0
Création d'une saas project management platform development with rest api integration multi-plateforme,Technology,simple,49,english,API REST,LOW,0.08333333333333333,0.08333333333333333
Implémentation d'une application de chat en temps réel avec websocket et notifications push multi-plateforme,Technology,simple,56,french,SaaS,LOW,0.0,0.0
Création d'une saas project management platform development with rest api integration,Technology,simple,44,english,API REST,LOW,0.09090909090909091,0.09090909090909091
Développement d'un plateforme de développement d'api avec documentation automatique,Technology,simple,34,french,API REST,LOW,0.0,0.0
Mise en place d'un geolocation application with interactive google maps integration,Technology,simple,36,english,Application Web,MEDIUM,0.0,0.0
Développement d'un solution de stockage cloud sécurisé avec chiffrement end-to-end avec kubernetes avec authentification SSO,Technology,simple,49,french,Application Web,HIGH,0.13333333333333333,0.0
Développement d'un e-commerce web application with stripe payment integration sécurisé et scalable,Technology,moyen,77,english,Application Web,MEDIUM,0.0,0.0
Plateforme d'analyse de données avec dashboards interactifs,Technology,simple,33,french,SaaS,MEDIUM,0.0,0.0
Développement d'un performance monitoring system with real-time alerts,Technology,moyen,78,english,Système,HIGH,0.0,0.0
Développement d'un plateforme de développement d'api avec documentation automatique multi-plateforme,Technology,simple,46,french,API REST,HIGH,0.0,0.0
Geolocation application with interactive Google Maps integration avec enterprise,Technology,moyen,55,english,Application Web,HIGH,0.0,0.0
Implémentation d'une plateforme d'intelligence artificielle pour l'analyse de données,Technology,simple,31,french,SaaS,MEDIUM,0.0,0.0
Création d'une geolocation application with interactive google maps integration,Technology,simple,48,english,Application Web,HIGH,0.0,0.0
Création d'une solution de stockage cloud sécurisé avec chiffrement end-to-end avec scalable,Technology,moyen,56,french,Application Web,HIGH,0.08333333333333333,0.0
Développement d'un artificial intelligence platform for advanced data analytics,Technology,simple,21,english,Application Web,LOW,0.0,0.0
Application web de commerce électronique avec paiement Stripe,Technology,simple,37,french,Application Web,MEDIUM,0.0,0.0
Développement d'un saas project management platform development with rest api integration avec microservices,Technology,moyen,85,english,API REST,MEDIUM,0.15384615384615385,0.07692307692307693
Implémentation d'une plateforme de développement low-code pour applications métier multi-plateforme,Technology,simple,36,french,SaaS,LOW,0.0,0.0
Création d'une content management system with react frontend and node.js backend,Technology,simple,30,english,Système,LOW,0.2727272727272727,0.09090909090909091
Mise en place d'un plateforme de développement d'api avec documentation automatique,Technology,simple,31,french,API REST,LOW,0.0,0.0
Développement d'un secure cloud storage solution with end-to-end encryption,Technology,simple,32,english,Application Web,MEDIUM,0.1111111111111111,0.0
Plateforme blockchain pour la traçabilité des produits avec authentification SSO,Technology,moyen,55,french,SaaS,LOW,0.0,0.0
Implémentation d'une machine learning application for sales prediction and forecasting,Technology,moyen,51,english,Application Web,MEDIUM,0.0,0.1
Création d'une application de machine learning pour la prédiction de ventes,Technology,moyen,50,french,Application Web,HIGH,0.0,0.0
Blockchain platform for product traceability and verification,Technology,moyen,54,english,Application Web,LOW,0.0,0.0
Application de chat en temps réel avec WebSocket et notifications push,Technology,simple,31,french,Application Web,MEDIUM,0.0,0.0
SaaS project management platform development with REST API integration,Technology,simple,54,english,API REST,MEDIUM,0.1111111111111111,0.1111111111111111
Développement d'un système de gestion de base de données distribuée avec mongodb,Technology,simple,29,french,Système,HIGH,0.08333333333333333,0.08333333333333333
Mise en place d'un virtualization solution using docker containers and kubernetes,Technology,moyen,61,english,Application Web,LOW,0.18181818181818182,0.0
Développement d'un application de géolocalisation avec cartes interactives google maps avec blockchain,Technology,moyen,58,french,Application Web,HIGH,0.0,0.0
Mise en place d'un e-commerce web application with stripe payment integration,Technology,simple,39,english,Application Web,HIGH,0.0,0.0
Implémentation d'une application web de commerce électronique avec paiement stripe,Technology,simple,34,french,Application Web,HIGH,0.0,0.0
Implémentation d'une machine learning application for sales prediction and forecasting avec real-time,Technology,complexe,108,english,Application Web,HIGH,0.0,0.08333333333333333
Plateforme d'intelligence artificielle pour l'analyse de données,Technology,simple,23,french,SaaS,LOW,0.0,0.0
Mise en place d'un saas project management platform development with rest api integration,Technology,simple,47,english,API REST,LOW,0.07692307692307693,0.07692307692307693
Création d'une application de géolocalisation avec cartes interactives google maps,Technology,simple,29,french,Application Web,LOW,0.0,0.0
Mise en place d'un content management system with react frontend and node.js backend,Technology,simple,40,english,Système,LOW,0.23076923076923078,0.07692307692307693
Développement d'une plateforme SaaS de gestion de projets avec API REST,Technology,simple,34,french,API REST,HIGH,0.09090909090909091,0.09090909090909091
Geolocation application with interactive Google Maps integration,Technology,simple,36,english,Application Web,MEDIUM,0.0,0.0
Implémentation d'une application web de commerce électronique avec paiement stripe,Technology,simple,43,french,Application Web,LOW,0.0,0.0
Développement d'un virtualization solution using docker containers and kubernetes avec kubernetes,Technology,moyen,65,english,Application Web,LOW,0.2727272727272727,0.0
Création d'une application de chat en temps réel avec websocket et notifications push avec analytics avancés,Technology,simple,32,french,Application Web,MEDIUM,0.0,0.0
Création d'une content management system with react frontend and node.js backend avec real-time,Technology,moyen,73,english,Système,HIGH,0.23076923076923078,0.07692307692307693
Développement d'un système de gestion de base de données distribuée avec mongodb,Technology,simple,43,french,Système,LOW,0.08333333333333333,0.08333333333333333
Développement d'un native ios/android mobile application for team collaboration,Technology,simple,60,english,Application Mobile,HIGH,0.0,0.0
Création d'une application de réalité augmentée pour la formation industrielle,Technology,simple,44,french,Application Web,MEDIUM,0.0,0.0
Création d'une native ios/android mobile application for team collaboration,Technology,simple,42,english,Application Mobile,MEDIUM,0.0,0.0
Mise en place d'un solution de virtualisation avec docker et kubernetes,Technology,simple,33,french,Application Web,MEDIUM,0.18181818181818182,0.0
Implémentation d'une distributed database management system using mongodb avec microservices,Technology,complexe,104,english,Système,LOW,0.3,0.1
Création d'une système de gestion des versions avec git et interface web avec real-time,Technology,moyen,87,french,Application Web,HIGH,0.0,0.07142857142857142
Développement d'un machine learning application for sales prediction and forecasting avec enterprise,Technology,complexe,104,english,Application Web,HIGH,0.0,0.08333333333333333
Implémentation d'une plateforme blockchain pour la traçabilité des produits,Technology,moyen,74,french,SaaS,HIGH,0.0,0.0
SaaS project management platform development with REST API integration,Technology,simple,45,english,API REST,HIGH,0.1111111111111111,0.1111111111111111
Mise en place d'un plateforme de développement d'api avec documentation automatique,Technology,simple,25,french,API REST,LOW,0.0,0.0
Mise en place d'un artificial intelligence platform for advanced data analytics sécurisé et scalable,Technology,moyen,59,english,Application Web,MEDIUM,0.0,0.0
Mise en place d'un plateforme blockchain pour la traçabilité des produits,Technology,moyen,79,french,SaaS,HIGH,0.0,0.0
DevOps solution with continuous integration and automated deployment,Technology,simple,45,english,Application Web,MEDIUM,0.0,0.0
Système de gestion des versions avec Git et interface web sécurisé et scalable,Technology,moyen,64,french,Application Web,MEDIUM,0.0,0.07692307692307693
Mise en place d'un augmented reality application for industrial training programs avec distributed,Technology,moyen,58,english,Application Web,LOW,0.0,0.0
Création d'une solution devops avec intégration continue et déploiement automatisé avec blockchain sécurisé et scalable,Technology,complexe,100,french,Application Web,LOW,0.0,0.0
Mise en place d'un version control system with git and web-based interface avec distributed sécurisé et scalable,Technology,complexe,114,english,Application Web,LOW,0.0,0.0
Implémentation d'une plateforme de développement low-code pour applications métier multi-plateforme,Technology,simple,33,french,SaaS,HIGH,0.0,0.0
Implémentation d'une distributed database management system using mongodb,Technology,moyen,54,english,Système,MEDIUM,0.25,0.125
Création d'une plateforme de développement low-code pour applications métier avec kubernetes multi-plateforme,Technology,simple,38,french,SaaS,LOW,0.08333333333333333,0.0
Création d'une cybersecurity solution with real-time intrusion detection system avec machine learning,Technology,complexe,105,english,Système,HIGH,0.0,0.0
Mise en place d'un plateforme de développement d'api avec documentation automatique avec scalable,Technology,moyen,73,french,API REST,MEDIUM,0.0,0.0
API development platform with automated documentation generation intégrant des APIs externes,Technology,simple,42,english,API REST,LOW,0.09090909090909091,0.0
Implémentation d'une plateforme d'analyse de données avec dashboards interactifs intégrant des APIs externes,Technology,simple,26,french,API REST,MEDIUM,0.0,0.0
Création d'une e-commerce web application with stripe payment integration,Technology,simple,39,english,Application Web,LOW,0.0,0.0
Plateforme de développement low-code pour applications métier avec security,Technology,simple,21,french,SaaS,HIGH,0.0,0.0
Développement d'un virtualization solution using docker containers and kubernetes,Technology,moyen,80,english,Application Web,LOW,0.2222222222222222,0.0
Application de géolocalisation avec cartes interactives Google Maps,Technology,simple,29,french,Application Web,HIGH,0.0,0.0
Implémentation d'une secure cloud storage solution with end-to-end encryption,Technology,simple,45,english,Application Web,HIGH,0.1111111111111111,0.0
Développement d'un application de chat en temps réel avec websocket et notifications push avec real-time,Technology,moyen,73,french,Application Web,HIGH,0.0,0.0
Machine learning application for sales prediction and forecasting,Technology,moyen,54,english,Application Web,HIGH,0.0,0.125
Solution de cybersécurité avec détection d'intrusion en temps réel,Technology,simple,40,french,Application Web,HIGH,0.0,0.0
Mise en place d'un real-time chat application with websocket and push notifications avec kubernetes,Technology,moyen,88,english,Application Web,HIGH,0.07142857142857142,0.0
Mise en place d'un application de machine learning pour la prédiction de ventes avec machine learning avec authentification SSO,Technology,moyen,73,french,Application Web,LOW,0.0,0.0
Implémentation d'une saas project management platform development with rest api integration,Technology,simple,39,english,API REST,HIGH,0.09090909090909091,0.09090909090909091
Création d'une application de réalité augmentée pour la formation industrielle,Technology,simple,26,french,Application Web,MEDIUM,0.0,0.0
Développement d'un secure cloud storage solution with end-to-end encryption avec analytics avancés,Technology,simple,26,english,Application Web,HIGH,0.08333333333333333,0.0
Développement d'un application de réalité augmentée pour la formation industrielle avec enterprise,Technology,moyen,67,french,Application Web,HIGH,0.0,0.0
Développement d'un blockchain platform for product traceability and verification,Technology,moyen,80,english,Application Web,LOW,0.0,0.0
Implémentation d'une système de gestion des versions avec git et interface web avec blockchain avec analytics avancés,Technology,complexe,99,french,Application Web,HIGH,0.0,0.058823529411764705
Implémentation d'une data analytics platform with interactive dashboard visualization,Technology,simple,39,english,Application Web,HIGH,0.0,0.0
Création d'une développement d'une plateforme saas de gestion de projets avec api rest,Technology,simple,55,french,API REST,LOW,0.07692307692307693,0.07692307692307693
Mise en place d'un machine learning application for sales prediction and forecasting avec haute performance,Technology,moyen,68,english,Application Web,MEDIUM,0.0,0.06666666666666667
Implémentation d'une plateforme d'analyse de données avec dashboards interactifs,Technology,simple,43,french,SaaS,MEDIUM,0.0,0.0
Mise en place d'un performance monitoring system with real-time alerts,Technology,moyen,55,english,Système,HIGH,0.0,0.0
Implémentation d'une solution devops avec intégration continue et déploiement automatisé avec scalable,Technology,moyen,76,french,Application Web,HIGH,0.0,0.0
Mise en place d'un secure cloud storage solution with end-to-end encryption,Technology,simple,21,english,Application Web,HIGH,0.09090909090909091,0.0
Développement d'un solution de stockage cloud sécurisé avec chiffrement end-to-end,Technology,simple,43,french,Application Web,MEDIUM,0.1,0.0
Mise en place d'un performance monitoring system with real-time alerts,Technology,moyen,64,english,Système,HIGH,0.0,0.0
Développement d'un système de gestion de contenu avec interface react et backend node.js intégrant des APIs externes,Technology,simple,32,french,API REST,HIGH,0.11764705882352941,0.058823529411764705
Secure cloud storage solution with end-to-end encryption,Technology,simple,27,english,Application Web,HIGH,0.14285714285714285,0.0
Création d'une système de surveillance des performances avec monitoring temps réel intégrant des APIs externes,Technology,simple,55,french,API REST,MEDIUM,0.0,0.0
Développement d'un native ios/android mobile application for team collaboration,Technology,simple,37,english,Application Mobile,HIGH,0.0,0.0
Développement d'un système de surveillance des performances avec monitoring temps réel avec authentification SSO,Technology,simple,20,french,Système,MEDIUM,0.0,0.0
Création d'une saas project management platform development with rest api integration,Technology,simple,52,english,API REST,MEDIUM,0.09090909090909091,0.09090909090909091
Plateforme de développement d'API avec documentation automatique avec security,Technology,simple,33,french,API REST,HIGH,0.0,0.0
Machine learning application for sales prediction and forecasting avec security,Technology,moyen,70,english,Application Web,HIGH,0.0,0.1
Développement d'un solution devops avec intégration continue et déploiement automatisé avec scalable,Technology,moyen,64,french,Application Web,HIGH,0.0,0.0
Native iOS/Android mobile application for team collaboration multi-plateforme,Technology,simple,52,english,Application Mobile,MEDIUM,0.0,0.0
Développement d'un solution de stockage cloud sécurisé avec chiffrement end-to-end,Technology,simple,20,french,Application Web,LOW,0.1,0.0
Création d'une api development platform with automated documentation generation,Technology,simple,27,english,API REST,LOW,0.1111111111111111,0.0
Plateforme de développement d'API avec documentation automatique,Technology,simple,53,french,API REST,LOW,0.0,0.0
Création d'une low-code development platform for enterprise applications avec distributed sécurisé et scalable,Technology,expert,127,english,Application Web,LOW,0.0,0.0
Implémentation d'une application de géolocalisation avec cartes interactives google maps,Technology,simple,25,french,Application Web,MEDIUM,0.0,0.0
Création d'une real-time chat application with websocket and push notifications,Technology,moyen,86,english,Application Web,HIGH,0.0,0.0
Application de chat en temps réel avec WebSocket et notifications push avec enterprise,Technology,moyen,73,french,Application Web,HIGH,0.0,0.0
Native iOS/Android mobile application for team collaboration sécurisé et scalable,Technology,moyen,90,english,Application Mobile,LOW,0.0,0.0
Mise en place d'un plateforme blockchain pour la traçabilité des produits avec distributed intégrant des APIs externes,Technology,expert,125,french,API REST,MEDIUM,0.0,0.0
Développement d'un low-code development platform for enterprise applications,Technology,moyen,64,english,Application Web,HIGH,0.0,0.0
Mise en place d'un solution devops avec intégration continue et déploiement automatisé,Technology,simple,39,french,Application Web,LOW,0.0,0.0
Création d'une augmented reality application for industrial training programs intégrant des APIs externes,Technology,simple,38,english,API REST,LOW,0.0,0.0
Implémentation d'une application web de commerce électronique avec paiement stripe,Technology,simple,31,french,Application Web,LOW,0.0,0.0
Implémentation d'une real-time chat application with websocket and push notifications,Technology,moyen,61,english,Application Web,HIGH,0.0,0.0
Création d'une plateforme blockchain pour la traçabilité des produits,Technology,moyen,71,french,SaaS,MEDIUM,0.0,0.0
Création d'une blockchain platform for product traceability and verification avec enterprise avec interface utilisateur moderne,Technology,complexe,101,english,Application Web,HIGH,0.0,0.06666666666666667
Mise en place d'un solution devops avec intégration continue et déploiement automatisé avec microservices,Technology,moyen,62,french,Application Web,LOW,0.07142857142857142,0.0
Développement d'un low-code development platform for enterprise applications,Technology,moyen,65,english,Application Web,LOW,0.0,0.0
Création d'une solution de virtualisation avec docker et kubernetes,Technology,simple,50,french,Application Web,HIGH,0.2222222222222222,0.0
Mise en place d'un native ios/android mobile application for team collaboration,Technology,simple,40,english,Application Mobile,HIGH,0.0,0.0
Mise en place d'un solution de cybersécurité avec détection d'intrusion en temps réel avec real-time,Technology,moyen,65,french,Application Web,HIGH,0.0,0.0
Implémentation d'une distributed database management system using mongodb avec high-performance,Technology,complexe,96,english,Système,HIGH,0.2,0.1
Mise en place d'un solution de virtualisation avec docker et kubernetes,Technology,simple,20,french,Application Web,HIGH,0.18181818181818182,0.0
Implémentation d'une api development platform with automated documentation generation avec high-performance avec interface utilisateur moderne,Technology,moyen,70,english,API REST,LOW,0.06666666666666667,0.06666666666666667
Création d'une plateforme blockchain pour la traçabilité des produits,Technology,moyen,71,french,SaaS,MEDIUM,0.0,0.0
Implémentation d'une machine learning application for sales prediction and forecasting,Technology,moyen,53,english,Application Web,HIGH,0.0,0.1
Mise en place d'un développement d'une plateforme saas de gestion de projets avec api rest,Technology,simple,52,french,API REST,MEDIUM,0.06666666666666667,0.06666666666666667
Content management system with React frontend and Node.js backend avec machine learning,Technology,moyen,51,english,Système,LOW,0.25,0.08333333333333333
Mise en place d'un système de gestion de base de données distribuée avec mongodb avec machine learning,Technology,moyen,51,french,Système,MEDIUM,0.058823529411764705,0.058823529411764705
Geolocation application with interactive Google Maps integration avec microservices,Technology,moyen,71,english,Application Web,MEDIUM,0.1111111111111111,0.0
Création d'une système de surveillance des performances avec monitoring temps réel,Technology,simple,23,french,Système,HIGH,0.0,0.0
Développement d'un real-time chat application with websocket and push notifications,Technology,moyen,81,english,Application Web,HIGH,0.0,0.0
Mise en place d'un application de machine learning pour la prédiction de ventes,Technology,moyen,72,french,Application Web,MEDIUM,0.0,0.0
Implémentation d'une secure cloud storage solution with end-to-end encryption,Technology,simple,47,english,Application Web,LOW,0.1111111111111111,0.0
Développement d'un plateforme de développement low-code pour applications métier avec microservices,Technology,moyen,51,french,SaaS,HIGH,0.09090909090909091,0.0
Augmented reality application for industrial training programs avec scalable,Technology,moyen,68,english,Application Web,HIGH,0.0,0.0
Implémentation d'une système de gestion des versions avec git et interface web,Technology,simple,47,french,Application Web,HIGH,0.0,0.08333333333333333
Développement d'un e-commerce web application with stripe payment integration avec distributed,Technology,moyen,77,english,Application Web,LOW,0.0,0.0
Mise en place d'un application de machine learning pour la prédiction de ventes,Technology,moyen,80,french,Application Web,LOW,0.0,0.0
Création d'une secure cloud storage solution with end-to-end encryption,Technology,simple,28,english,Application Web,HIGH,0.1111111111111111,0.0
Développement d'un solution de stockage cloud sécurisé avec chiffrement end-to-end avec scalable,Technology,moyen,52,french,Application Web,MEDIUM,0.08333333333333333,0.0
Mise en place d'un cybersecurity solution with real-time intrusion detection system avec enterprise,Technology,complexe,87,english,Système,HIGH,0.0,0.0
Développement d'un plateforme d'analyse de données avec dashboards interactifs,Technology,simple,24,french,SaaS,LOW,0.0,0.0
Mise en place d'un machine learning application for sales prediction and forecasting,Technology,moyen,61,english,Application Web,HIGH,0.0,0.08333333333333333
Développement d'un système de surveillance des performances avec monitoring temps réel,Technology,simple,50,french,Système,LOW,0.0,0.0
Implémentation d'une performance monitoring system with real-time alerts,Technology,moyen,63,english,Système,HIGH,0.0,0.0
Implémentation d'une application de machine learning pour la prédiction de ventes,Technology,moyen,68,french,Application Web,HIGH,0.0,0.0
Implémentation d'une data analytics platform with interactive dashboard visualization,Technology,simple,20,english,Application Web,LOW,0.0,0.0
Développement d'une plateforme SaaS de gestion de projets avec API REST avec real-time multi-plateforme,Technology,moyen,85,french,API REST,HIGH,0.07142857142857142,0.07142857142857142
Blockchain platform for product traceability and verification,Technology,moyen,80,english,Application Web,LOW,0.0,0.0
Développement d'un système de surveillance des performances avec monitoring temps réel,Technology,simple,46,french,Système,LOW,0.0,0.0
Mise en place d'un api development platform with automated documentation generation,Technology,simple,55,english,API REST,HIGH,0.09090909090909091,0.0
Développement d'un application de chat en temps réel avec websocket et notifications push,Technology,simple,59,french,Application Web,HIGH,0.0,0.0
Geolocation application with interactive Google Maps integration,Technology,simple,29,english,Application Web,MEDIUM,0.0,0.0
Implémentation d'une solution de cybersécurité avec détection d'intrusion en temps réel,Technology,simple,44,french,Application Web,HIGH,0.0,0.0
Virtualization solution using Docker containers and Kubernetes,Technology,moyen,58,english,Application Web,LOW,0.2857142857142857,0.0
Solution DevOps avec intégration continue et déploiement automatisé avec analytics avancés,Technology,simple,41,french,Application Web,LOW,0.0,0.0
